temp,humidity,wind,rain,burned_area
18.9,64,4.9,0,3.32
15.5,72,8,0,1.94
18.9,64,4.9,0,0
18.9,64,4.9,0,0
14.5,76,7.6,0,3.71
4.6,82,,0,5.39
5.1,77,5.4,0,2.14
4.6,,0.9,0,6.84
10.2,45,5.8,0,3.18
22.8,40,4,0,0
11.2,41,5.4,0,5.55
13.3,27,3.6,0,6.61
13.7,33,9.4,0,61.13
17.6,27,5.8,0,0
18,40,4,0,38.48
14.3,,4,0,1.94
,50,3.1,0,70.32
26.4,35,2.7,0,10.08
22.7,40,9.4,0,3.19
27.2,28,1.3,0,1.76
26.1,45,4,0,7.36
18.2,82,4.5,0,2.21
22.6,57,4.9,0,278.53
,25,4.5,0,2.75
30.2,22,4.9,0,0
23.4,40,5.8,0,1.29
31,27,5.4,0,0
33.1,25,4,0,26.43
30.6,28,3.6,0,2.07
24.1,43,6.3,0,2
26.4,34,3.6,0,16.4
19.4,71,7.6,0,46.7
20.6,58,1.3,0,0
28.7,33,4,0,0
32.4,21,4.5,0,0
32.4,27,2.2,0,0
27.5,29,4.5,0,43.32
30.8,30,4.9,0,8.59
23.9,42,2.2,0,0
32.6,26,3.1,0,2.77
32.3,27,2.2,0,14.68
,26,2.7,0,40.54
27.3,63,4.9,6.4,10.82
21.6,65,4.9,0.8,0
21.6,65,4.9,0.8,0
20.7,69,4.9,0.4,0
29.2,30,4.9,0,1.95
28.9,29,4.9,0,49.59
26.7,35,1.8,0,5.8
18.5,73,8.5,0,0
25.9,41,3.6,0,0
25.9,41,3.6,0,0
21.1,71,7.6,1.4,2.17
18.2,62,5.4,0,0.43
27.8,35,,0,0
,32,2.7,0,6.44
21.9,71,5.8,0,54.29
21.2,,6.7,0,11.16
25.6,42,4,0,0
11.8,31,4.5,0,0
